Year,Country,Population (in millions),ln(population),Real GDP(in million $),ln(real gdp),Per Capita Real GDP,ln(per capita real gdp)
1980,Senegal,5.592646122,1.721452542,11377.88477,9.339426817,2034.436744,7.617974275
1980,Singapore,2.41170001,0.8803318973,44254.37891,10.6977096,18349.86885,9.817377707
1980,Sierra Leone,3.365441084,1.213559034,3783.766357,8.238475183,1124.300281,7.024916149
1980,El Salvador,4.580704212,1.521852744,11723.16797,9.369322331,2559.250156,7.847469587
1980,Sao Tome and Principe,0.09494899958,-2.354415378,246.6353302,5.50791085,2597.555859,7.862326228
1980,Suriname,0.3627769947,-1.013966973,2094.105469,7.646881757,5772.431823,8.66084873
1980,Sweden,8.316337585,2.118221964,164282.0469,12.00934003,19754.13398,9.891118064
1980,Eswatini,0.6033719778,-0.5052213938,2048.29541,7.624763219,3394.747329,8.129984613
1980,Seychelles,0.06629399955,-2.71365589,976.3562622,6.883827543,14727.67172,9.597483433
1980,Syrian Arab Republic,8.930773735,2.189503036,20728.50586,9.939265127,2321.020157,7.749762091
1980,Turks and Caicos Islands,0.00751900021,-4.890322101,497.6207275,6.209838196,66181.76801,11.1001603
1980,Chad,4.512042046,1.506749833,3760.974365,8.232433343,833.5415156,6.72568351
1980,Togo,2.720839024,1.000940297,5994.869629,8.698659321,2203.316542,7.697719023
1980,Thailand,47.38532257,3.85831253,157532.9219,11.96738974,3324.5088,8.109077213
1980,Trinidad and Tobago,1.085307956,0.0818637769,21973.5918,9.997596638,20246.4118,9.915732862
1980,Tunisia,6.368166924,1.851311661,28164.50195,10.24581767,4422.701586,8.394506007
1980,Turkey,43.97592163,3.783642248,337901.6875,12.73051027,7683.78865,8.946868018
1980,Taiwan,17.70453835,2.87382101,170902.1875,12.04884667,9653.01575,9.175025658
1980,U.R. of Tanzania: Mainland,18.68315697,2.927622421,33866.50781,10.43018183,1812.67587,7.502559414
1980,Uganda,12.54953957,2.529683977,9430.073242,9.151659143,751.4278267,6.621975166
1980,Uruguay,2.915777922,1.070136653,27169.98047,10.20986798,9318.261266,9.139731331
1980,United States,229.7630463,5.437048544,6698716,15.71742642,29154.88852,10.28037788
1980,St. Vincent and the Grenadines,0.1005050018,-2.297547783,418.3520203,6.036323232,4162.499503,8.333871015
1980,Venezuela (Bolivarian Republic of),15.34391594,2.73071904,162005.75,11.99538711,10558.30537,9.264668068
1980,British Virgin Islands,0.01100200042,-4.509678166,82.18734741,4.409001366,7470.21853,8.918679532
1980,Viet Nam,54.37251282,3.995858747,56182.33984,10.93635775,1033.285698,6.940499002
1980,South Africa,29.76047134,3.393181048,266494.875,12.49311029,8954.659082,9.099929244
1980,Zambia,5.889229774,1.773125221,8413.195313,9.037556623,1428.573113,7.264431402
1980,Zimbabwe,7.164172173,1.969092517,18222.8457,9.810431344,2543.608007,7.841338827
