Year,Country,Population (in millions),Real GDP(in milllion $)
1985,Syrian Arab Republic,10.64863205,18792.32617
1985,Turks and Caicos Islands,0.009506,763.5571289
1985,Chad,5.091535091,5666.789063
1985,Togo,3.252994061,4851.347656
1985,Thailand,52.04146957,198384.0625
1985,Trinidad and Tobago,1.170928001,18336.5918
1985,Tunisia,7.321876049,35949.60156
1985,Turkey,49.13388443,439338.5625
1985,Taiwan,19.19150925,231991.5313
1985,U.R. of Tanzania: Mainland,21.83699989,39678.14453
1985,Uganda,14.64662361,11590.67969
1985,Uruguay,3.011908054,21624.37891
1985,United States,240.8241272,7826375
1985,St. Vincent and the Grenadines,0.104477003,487.4517212
1985,Venezuela (Bolivarian Republic of),17.50805855,147946.8438
1985,British Virgin Islands,0.013304,83.36011505
1985,Viet Nam,61.04937363,68243.77344
1985,South Africa,33.73014832,288431.375
1985,Zambia,6.955212116,12293.16113
1985,Zimbabwe,8.658857346,28396.52148
